name,description,biography,personality,seasons,titles,status,death,origin,allegiance,culture,religion,predecessor,successor,father,mother,spouse,children,siblings,lovers,image_1_src,image_1_caption,image_2_src,image_2_caption,image_3_src,image_3_caption,image_4_src,image_4_caption,image_5_src,image_5_caption,image_6_src,image_6_caption,image_7_src,image_7_caption,image_8_src,image_8_caption,house
Melara Hetherspoon,"Melara Hetherspoon is character in the fifth season, appearing in a flashback in ""The Wars to Come"". She is portrayed by Isabella Steinbarth. Melara is a member of House Hetherspoon, a vassal house of House Lannister, and a childhood friend and companion of Cersei Lannister.","Melara was a companion of Cersei Lannister at Casterly Rock, a great honor for a noble girl of the Westerlands.","",5,"","","","",House Hetherspoon,"","","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/b/b9/Melara_S5.jpg/revision/latest?cb=20150413040311,Melara Hetherspoon,http://vignette2.wikia.nocookie.net/gameofthrones/images/7/7a/YoungCersei%26Melara.jpg,Melara Hetherspoon and Cersei Lannister as young girls,"","","","","","","","","","","","",""
Ironborn 2 (The Door),"An Ironborn is a minor character in the sixth season. He is played by Robert Render and appears in ""The Door"".","","",6,"",Alive,"",Iron Islands,Euron Greyjoy,"",Drowned God,"","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/9/94/Ironborn_2_6x05.png/revision/latest?cb=20160527223915,Ironborn 2 (The Door),"","","","","","","","","","","","","","",""
Whore (Mother of Dragons),"A prostitute dressed as Daenerys Targaryen is an unnamed minor character in the fifth season. She is played by guest star Samantha McEwan and appears in ""High Sparrow"".","She is a slave forced into prostitutution at a brothel on the Long Bridge of Volantis. Like all bedslaves in Volantis, she was branded with a slave tattoo shaped like a tear on her cheek. As word of Daenerys Targaryen's exploits spread, the prostitute started dressing like her to entice customers. Exposed buttocks aside, the costume is actually rather accurate, being the exact shade of blue and almost the same style that Daenerys favored during the Liberation of Slaver's Bay.","",5,"",Alive,"",Volantis,"",Volantene,"","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/7/7e/Whore_Mother_of_Dragons.png/revision/latest?cb=20160829161349,Whore (Mother of Dragons),"","","","","","","","","","","","","","",""
Rakharo,"Rakharo is a recurring character in the first and second seasons. He is played by guest star Elyes Gabel and debuts in ""Lord Snow."" Gabel was originally announced as playing the role of Jhogo, but HBO decided to change his name to that of a similar character in the books, Rakharo, to avoid confusion with the name Drogo. Rakharo is a loyal Dothraki bodyguard to Daenerys Targaryen. Following the birth of her dragons he is named a bloodrider by his Khaleesi. He is killed by a rival khalasar while scouting the Red Waste.","Rakharo is a Dothraki warrior who is skilled in combat. He is young, but extremely capable in battle. He was trained by his father, who was a bloodrider in the retinue of a famous khal, Khal Bharbo. He is descended from a long line of bloodriders. He protected Daenerys from her brother's vicious temper and was one of the first to declare her ""blood of my blood.""","","1, 2","Bloodrider, Queensguard",Deceased,Killed by a rival khalasar,The Dothraki sea,"Khal Drogo, House Targaryen",Dothraki,Great Stallion,"","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/6/63/Rakharo_1x02.jpg/revision/latest?cb=20160710065636,Rakharo,http://vignette1.wikia.nocookie.net/gameofthrones/images/a/ae/Rakharo.jpg,Rakharo discussing with Ser Jorah.,http://vignette1.wikia.nocookie.net/gameofthrones/images/9/95/Daenerys_%26_Irri_2x02.png,Irri cries over Rakharo's death.,"","","","","","","","","","",House Targaryen
Larys Strong,Lord Larys Strong is an unseen character in Game of Thrones. He is long dead by the time of the series. He was the Master of Whisperers for Aegon II Targaryen during the Dance of the Dragons.,"","","","Lord of Harrenhal, Master of Whisperers",Deceased,"",Harrenhal,"House Strong, Greens",Andal,Faith of the Seven,"","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/f/fe/Larys_Strong.png/revision/latest?cb=20161121230220,Larys Strong,"","","","","","","","","","","","","","",""
Tommen's manservant,"Tommen's manservant is an unnamed character in the sixth season. He is played by Aron Hegarty and appears in ""The Winds of Winter.""","","",6,"",Alive,"","","","","","","","","","","","","",http://vignette1.wikia.nocookie.net/gameofthrones/images/1/13/Tommen_Manservant.jpg/revision/latest?cb=20160712001153,Tommen's manservant,"","","","","","","","","","","","","","",""
Garin the Great,"Garin, better known as Garin the Great, is an unseen character in Game of Thrones. He is not expected to appear in the series, being long dead by the time it begins.
He was a Prince of the Rhoynar who led his people against the Valyrian Freehold in the Rhoynish Wars.","Following many defeats by the Valyrians in a conflict that began from the slaughter of one of the old men of the river, the Rhoynish princes eventually set aside their differences and allied behind Prince Garin of Chroyane. Garin led the largest army Essos had ever seen against a hundred thousand Valyrian colonists, a hundred war elephants and three dragonlords. While thousands of them died, the Rhoynar defeated the Valyria's forces and killed two of their dragons, causing the third to flee. Thereafter, the Rhoynar named Garin ""the Great"".
Garin led his army against Volantis, only for three hundred Valyrian dragons to descend from the sky. Tens of thousands of Rhoynish soldiers were burned alive while others rushed to the Rhoyne, only for the dragons to boil the water to steam with their fire. Garin was captured and placed in a cage, forced to watched as the Valyrians butchered every last one of his soldiers. The Valyrians then forced him to watch at they enslaved all of the women and children of Chroyane.
Singers claim that Garin called out Mother Rhoyne to curse the Valyrians, and that she flooded the city with foul waters and a damp fog which caused the the skin of the Valyrians to harden and crack, thus giving birth to greyscale. The affliction became known as ""Prince Garin's curse.","","",Prince of Chroyane,Deceased,Left to die in a cage above Chroyane,Chroyane,Rhoynar,"","","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/f/fb/Prince_Garin.png/revision/latest?cb=20160920202354,Garin the Great,http://vignette1.wikia.nocookie.net/gameofthrones/images/9/94/Garin_on_his_fallen_city.png,Garin helplessly watches the immolation of Chroyane,"","","","","","","","","","","","",""
Theron,"Theron is character mentioned in the Season 6 ""Histories & Lore"". He is a maester of the Citadel","Theron suggested the legendary Deep Ones as the builders of the ancient fortress on Battle Isle on which the Hightower of Oldtown stands. However, this theory holds little support.","","",Maester,Deceased,"",The Iron Islands,Order of Maesters,Ironborn,"","","","","","","","","","",Theron,"","","","","","","","","","","","","","",""
Arson Iceaxe,"Arson, also known as Arson Iceaxe, is an unseen character in Game of Thrones. He is long dead when the series begins.","","","","",Deceased,"",Beyond the Wall,Free Folk,Free Folk,"","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/3/33/Arson_Iceaxe.png/revision/latest?cb=20150315195411,Arson Iceaxe,"","","","","","","","","","","","","","",""
Dontos Hollard,"Ser Dontos Hollard is a recurring character in the second and fourth seasons. He is played by guest star Tony Way and debuts in ""The North Remembers."" Also known as Ser Dontos the Red, he is made a fool by King Joffrey Baratheon after attending a tourney drunk.",Ser Dontos is a knight and the only surviving member of House Hollard.,"","2, 4","Ser, Fool",Deceased,Killed on the orders of Petyr Baelish,"",House Hollard,Andal,"","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/0/04/Dontos-Hollard-401.jpg/revision/latest?cb=20161215030503,Dontos Hollard,"","","","","","","","","","","","","","",""
Catspaw assassin,"The catspaw assassin is a minor character in the first season. He is played by guest star Lalor Roddy and only appears in ""The Kingsroad."" He is never named, but is referred to as such in casting announcements and the script, a reference to a catspaw being someone unwittingly used to further another person's agenda.","","",1,"",Deceased,Throat ripped open by Summer,"",Unknown,"","","","","","","","","","",http://vignette2.wikia.nocookie.net/gameofthrones/images/1/14/Catspaw.jpg/revision/latest?cb=20160807061648,Catspaw assassin,http://vignette2.wikia.nocookie.net/gameofthrones/images/4/45/Dagger.png,The dagger belonging to the catspaw assassin.,"","","","","","","","","","","","",""
Bolton soldier (Walk of Punishment),"A Bolton soldier is an unnamed minor character in the third season. He is played by guest star Gary Lightbody and only appears in ""Walk of Punishment"".",This soldier is fighting for House Bolton in the War of the Five Kings.,"",3,"",Alive,"","",House Bolton,Northmen,"","","","","","","","","",http://vignette3.wikia.nocookie.net/gameofthrones/images/9/92/Gary_Lightbody_Bolton.jpg/revision/latest?cb=20160716034144,Bolton soldier (Walk of Punishment),"","","","","","","","","","","","","","",House Bolton
Ironborn in skiff,The ironborn in skiff is an unnamed minor character who appears in the fourth season and is played by Michael Hough.,He is an ironborn who follows Yara Greyjoy on her mission to rescue Theon Greyjoy from the Dreadfort.,"",4,"",Alive,"",Iron Islands,House Greyjoy,Ironborn,Drowned God,"","","","","","","","",http://vignette4.wikia.nocookie.net/gameofthrones/images/7/78/Ironborn_in_skiff.png/revision/latest?cb=20140515161110,Ironborn in skiff,"","","","","","","","","","","","","","",House Greyjoy
Mors Martell,"Mors Martell was the head of House Martell when the Rhoynar people, led by Nymeria, landed in Dorne a thousand years ago.","Mors Martell was one of the many nobles who vied for supremacy over the rest of the lords of Dorne. According to tradition, he fell in love with Princess Nymeria, the Rhoynar warrior-queen, the first time he saw her. The two married and joined their strengths, thus allowing House Martell to defeat all rival houses and unify Dorne under their rule. In the Rhoynish fashion, House Martell adopted the title of ""Prince"" as well as equal rights of primogeniture, regardless of gender. After Mors was killed in battle, Nymeria took over command of his armies and ruled alone for many years.","","",Prince of Dorne,Deceased,"",Dorne,House Martell,Dornishmen,"","","","","",Nymeria,Daughter,"","",http://vignette2.wikia.nocookie.net/gameofthrones/images/b/b9/Mors_Martell.png/revision/latest?cb=20150302205646,Mors Martell,"","","","","","","","","","","","","","",House Martell
Bethany Bracken,"Bethany Bracken is an unseen character in Game of Thrones. She is long dead before the start of the series, and thus is not expected to appear. Bethany Bracken was a member of House Bracken who lived during the reign of Aegon IV Targaryen.","","","","",Deceased,"",Stone Hedge,House Bracken,Andal,"","","","","","","","","Aegon IV Targaryen, Ser Terrence Toyne","",Bethany Bracken,"","","","","","","","","","","","","","",""
Aemon Blackfyre,"Aemon Blackfyre is an unseen character in Game of Thrones. He is not expected to appear in the series, being long dead by the time it begins.","Aemon Blackfyre was the second son of Daemon Blackfyre, a legitimized bastard of King Aegon IV Targaryen and his cousin Daena Targaryen, by Serena Blackfyre. He had two brothers: Aegon, his twin, who had been born first, and Daemon II Blackfyre.","",1,"",Deceased,"","Red Keep, King's Landing",House Blackfyre,"","","","",Daemon Blackfyre,Serena Blackfyre,"","","Aegon Blackfyre (twin), Daemon II Blackfyre","",http://vignette1.wikia.nocookie.net/gameofthrones/images/0/0c/History_and_Lineages_Blackfyre.jpg/revision/latest?cb=20160804235246,Aemon Blackfyre,"","","","","","","","","","","","","","",""
